Voltage (V),Current (A),Power (W)
239.94,4.67,1121.57
223.61,1.66,370.99
227.12,0.97,219.24
226.33,0.08,17.55
222.1,0.53,118.04
227.29,0.37,85.05
228.02,0.48,108.89
237.16,1.0,236.87
227.35,4.26,969.47
228.15,1.5,341.96
228.7,0.59,135.92
230.52,3.44,794.06
235.57,3.99,938.92
230.68,1.55,356.87
237.11,1.1,260.86
230.6,0.21,49.05
227.79,2.21,504.4
233.75,1.78,416.67
235.11,4.38,1030.6
227.62,4.13,940.74
227.79,4.71,1073.24
224.91,4.86,1093.08
224.19,0.3,67.16
223.57,4.0,894.82
229.29,0.41,93.86
224.83,2.55,572.76
226.54,0.65,148.1
224.9,4.45,1000.29
228.7,0.01,3.3
223.68,0.5,112.22
223.98,0.02,5.41
228.06,0.18,40.95
233.98,2.09,490.14
237.39,0.58,137.0
232.61,1.56,361.85
226.64,2.56,580.59
221.35,3.29,727.48
224.71,1.42,318.32
224.45,0.09,20.95
223.9,4.82,1078.18
236.49,0.94,221.98
226.21,2.7,610.26
232.11,2.16,502.39
224.92,3.31,744.98
223.86,4.24,949.83
231.87,1.32,306.78
226.51,3.73,845.02
223.91,3.29,736.82
232.83,4.0,932.32
228.56,3.58,817.43
232.81,1.86,433.67
226.33,4.57,1033.44
232.49,1.81,420.49
234.37,3.83,898.52
237.75,2.05,487.21
228.89,2.27,519.8
234.93,4.88,1147.48
236.9,1.59,376.37
230.53,3.11,716.55
230.97,1.46,337.64
235.77,3.86,909.78
234.49,3.5,820.12
231.86,0.55,127.56
232.17,2.65,614.83
223.02,0.99,220.32
233.33,2.81,656.61
231.47,4.52,1045.82
237.63,4.82,1144.42
230.52,0.12,28.01
236.42,3.19,753.81
227.51,3.27,744.52
221.61,0.9,199.4
224.78,4.71,1057.93
222.34,2.44,541.42
226.13,4.01,906.33
232.5,4.63,1076.34
225.9,1.24,280.8
228.66,0.06,12.63
231.16,0.32,74.42
226.73,4.23,959.01
223.0,2.73,609.4
220.03,0.37,81.98
229.34,1.74,397.93
220.34,1.61,355.47
233.68,4.2,980.53
